# DEMO-SCALE.tsv -- per-DEMO fixed input scale for the 3-angle demo triangulation.
# Minted 2026-08-27 by hq_P on Lon's in-chat PIVOT ("Get numbers for 3-angle performance
# numbers on all the demo programs. claws5, treebank, json, calculator, beauty").
# Regenerate/re-tune with scripts/bench_triangulate_demos_snobol4.sh --calibrate; never hand-edit blind.
#
# WHY A SCALE COLUMN EXISTS AT ALL: a demo is NOT a kernel. It has no *BENCH entry point and no
# internal iteration loop, so one "iteration" is ONE WHOLE PROGRAM RUN. Measured 2026-08-27: a
# single unscaled run is STARTUP-DOMINATED -- claws5 at 62x more input data moved sbl only
# 2.0ms -> 2.4ms. The input is replicated N times so execution dominates the process startup and
# the compile. ⛔ THESE ARE TOTALS, NOT SLOPES -- they carry startup+compile and may never share a
# column with a benchmarks/snobol4 kernel number (FACT RULE: a SLOPE is not a TOTAL).
#
# ⛔ EVERY SCALE IS CAPPED BY A MEASURED CEILING, NOT CHOSEN FOR ROUNDNESS. Each program sets its
# own record limit in its INPUT() call and dies past it -- claws5/json/calculator declare
# '[-f0 -r4194304]' = a 4 MiB record cap, so claws5 (66757 B/copy) fails at x64 = 4.27 MiB and is
# held at x16. calculator was measured FAILING at x256 and passing at x64. Verified by OUTPUT, not
# by exit code: sbl returns rc=0 while printing ERROR 246 and an EMPTY answer, so exit status is
# not a correctness signal here and the harness gates on cross-engine output agreement instead.
#
# sbl_flags: ⛔ bare -bf OVERFLOWS on every scaled input (ERROR 246, silently, rc=0). The size
# flags are taken from json.sno's own committed header line. -bf itself is mandatory and is added
# by lib_oracle_flags.sh:sbl_lang_flags() -- never spell it here.
#
# family	program	input	scale	sbl_extra_flags	notes
# cure (s168 PT-3, treebank-match) could sit shipped-but-disabled for eight days with every board green.
#
# ⛔⛔ AND THE SCALE COLUMN IS LOAD-BEARING HERE IN A WAY IT WAS NOT FOR THE BASE FIVE. MEASURED
# match-phase share of total instructions AT EACH DEMO'S COMMITTED (x1) INPUT, m4 -O0, by solving
# I(s) = fixed + s*marginal from two measured points:
#     calculator-1-match  98.7%      <- already match-dominated at x1
#     calculator-2-match  69.8%
#     treebank-match       0.7%      <- 99.3% of the work is PATTERN COMPILATION
#     claws5-match         0.3%  (on claws5.input)      16.1% on CLAWS5inTASA.dat
#     json-match           0.0%  (on the 84-byte json.input stub)
# A match-path cure measured on those three at x1 therefore reads as NOISE no matter how large it is.
# Verified on the arm this file was written beside: the PT-3 collapse moves treebank-match -0.7% at x1
# and -7.95% at x1000. Same arm, same binary, same program -- the INSTRUMENT was the variable.
# ⭐ SCALES BELOW ARE CHOSEN FOR >=80% MATCH SHARE, then capped by the 4 MiB record limit every one of
# these programs declares in its own INPUT() call. claws5 at x32 = 2.14 MB is VERIFIED to run (x64 =
# 4.27 MB exceeds the cap and dies, exactly as the base claws5 row's note says).
# ⛔ TWO ROWS DELIBERATELY DO NOT REPLICATE THEIR INPUT: json's twins take citm_catalog.json at x1,
# because concatenating N JSON documents is not a JSON document -- the FILE CHOICE is the scale axis
# there, and citm_catalog.json at x1 is already 86% match-dominated (the 84-byte json.input stub is 0%).
# ⭐ ALL TEN ROWS VERIFIED BEFORE LANDING, by the harness's own correctness signal and not by exit code:
# scrip m4 and the clean oracle both produce a NON-EMPTY answer and the two AGREE, at the listed scale.
calculator-1-match	calculator/calculator-1-match.sno	calculator/calculator.input	1	-d512m -i64m -s256m	tier-1; 98.7% match at x1, no scaling needed
calculator-1-match-fence	calculator/calculator-1-match-fence.sno	calculator/calculator.input	1	-d512m -i64m -s256m	tier-1 fence twin
calculator-2-match	calculator/calculator-2-match.sno	calculator/calculator.input	4	-d512m -i64m -s256m	tier-1; 69.8% match at x1 -> 90.2% at x4
calculator-2-match-fence	calculator/calculator-2-match-fence.sno	calculator/calculator.input	4	-d512m -i64m -s256m	tier-1 fence twin
treebank-match	treebank/treebank-match.sno	treebank/treebank.input	1024	-d512m -i64m -s256m	tier-1; 0.7% match at x1 -- needs x556 for 80%, x1024 matches the base treebank row
treebank-match-fence	treebank/treebank-match-fence.sno	treebank/treebank.input	1024	-d512m -i64m -s256m	tier-1 fence twin
claws5-match	claws5/claws5-match.sno	claws5/CLAWS5inTASA.dat	32	-d512m -i64m -s256m	tier-1; 16.1% match at x1 on the .dat -- needs x21 for 80%; x32 = 2.14 MB, verified under the 4 MiB cap
claws5-match-fence	claws5/claws5-match-fence.sno	claws5/CLAWS5inTASA.dat	32	-d512m -i64m -s256m	tier-1 fence twin
json-match	json/json-match.sno	json/citm_catalog.json	1	-d512m -i64m -s256m	tier-1; NOT replicated (see header) -- citm at x1 is 86% match, the json.input stub is 0%
json-match-fence	json/json-match-fence.sno	json/citm_catalog.json	1	-d512m -i64m -s256m	tier-1 fence twin
